word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
house	5.0	6.615	6.552	2.0	514.0	4.4185	6040.0	7501
motor scooter	4.85	NA	NA	NA	NA	NA	NA	9
sleep mask	NA	NA	NA	NA	NA	NA	NA	3
woman	4.46	6.697	6.606	2.0	434.63	4.3457	5925.0	32617
biker	4.7	NA	NA	NA	1.55	1.9031	53.0	71
bear cub	NA	NA	NA	NA	NA	NA	NA	3
nurse	4.39	6.24	6.594	2.0	44.98	3.3608	1099.0	43
domicile	NA	NA	NA	14.0	0.35	1.2788	17.0	1
urinals	NA	NA	NA	NA	0.22	1.0792	11.0	1
vest	4.52	5.515	6.177	2.0	5.57	2.4548	203.0	289
cook	4.32	6.625	6.212	2.0	45.57	3.3664	1369.0	42
hot dog and fries	NA	NA	NA	NA	NA	NA	NA	2
deer	4.86	5.484	6.767	2.0	8.71	2.6484	245.0	4
pear	4.93	5.853	6.714	2.0	1.33	1.8388	44.0	1
volleyball player	NA	NA	NA	NA	NA	NA	NA	3
waitress	4.56	6.063	6.4	2.0	11.53	2.7701	398.0	6
deckchair	4.69	NA	NA	NA	NA	NA	NA	3
ale	4.65	NA	NA	6.0	3.96	2.3075	123.0	2
lawn chair	NA	NA	NA	NA	NA	NA	NA	2
chare	NA	NA	NA	NA	NA	NA	NA	5
rear-view mirror	NA	NA	NA	NA	NA	NA	NA	1
sailboat	4.89	NA	NA	2.0	1.61	1.9191	48.0	335
tanker	4.68	3.345	5.556	4.0	1.96	2.0043	53.0	17
sleeping bag	4.79	NA	NA	NA	NA	NA	NA	11
pepperoni	5.0	NA	NA	NA	2.57	2.1206	88.0	13
trucks	4.89	NA	NA	NA	9.86	2.7024	321.0	9
houses of parliament	NA	NA	NA	NA	NA	NA	NA	1
appliance	4.57	5.618	5.057	4.0	0.8	1.6232	34.0	14
puppy	4.78	6.346	6.767	2.0	11.45	2.7672	383.0	160
workstation	4.63	NA	NA	NA	0.33	1.2553	13.0	4
pizza hut	NA	NA	NA	NA	NA	NA	NA	2
pitcher's mound	NA	NA	NA	NA	NA	NA	NA	6
walkway	4.33	NA	NA	NA	0.37	1.301	19.0	63
green shirt	NA	NA	NA	NA	NA	NA	NA	2
houses	NA	NA	NA	NA	19.12	2.9894	738.0	5
radish	4.87	NA	NA	2.0	0.61	1.5051	26.0	2
vegetates	NA	NA	NA	NA	NA	NA	NA	1
peel	4.61	5.75	5.303	2.0	5.35	2.4378	189.0	4
programmer	3.86	NA	NA	10.0	1.1	1.7559	34.0	1
young boy	NA	NA	NA	NA	NA	NA	NA	5
fields	NA	NA	NA	NA	11.94	2.7853	424.0	1
sauce	4.75	5.968	6.2	2.0	15.59	2.9009	492.0	232
fabric	4.63	5.771	5.706	6.0	4.8	2.3909	198.0	11
serviceman	4.57	NA	NA	10.0	0.16	0.9542	7.0	1
breakfast sandwich	NA	NA	NA	NA	NA	NA	NA	2
object	3.66	6.29	4.429	2.0	25.76	3.1189	823.0	1
bedside table	NA	NA	NA	NA	NA	NA	NA	1
pita	4.29	NA	NA	NA	NA	NA	NA	15
stir fry	4.43	NA	NA	NA	NA	NA	NA	7
soup	4.72	6.375	6.294	2.0	25.2	3.1092	763.0	818
wrap	4.11	5.412	5.118	2.0	17.8	2.9586	736.0	36
sniper	4.55	NA	NA	10.0	4.35	2.3483	134.0	1
shower door	NA	NA	NA	NA	NA	NA	NA	8
wardrobe	4.67	5.765	6.629	6.0	6.47	2.5198	240.0	50
suit	4.97	5.697	6.242	2.0	68.61	3.5441	1942.0	2887
flatbread	NA	NA	NA	NA	NA	NA	NA	10
leeks	NA	NA	NA	NA	0.06	0.6021	3.0	4
gondola	4.92	NA	NA	10.0	0.73	1.5798	23.0	3
field	4.26	5.936	6.625	2.0	70.2	3.554	1919.0	42
green bean	NA	NA	NA	NA	NA	NA	NA	7
pickle	4.64	4.936	6.469	2.0	4.61	2.3729	142.0	30
potato	4.85	6.645	6.677	2.0	11.29	2.7612	385.0	2
tabby cat	NA	NA	NA	NA	NA	NA	NA	1
mechanic	4.38	5.515	5.971	4.0	5.06	2.4133	185.0	2
giraffes	NA	NA	NA	NA	0.61	1.5051	19.0	8
guys	NA	NA	NA	NA	631.33	4.5078	6085.0	2
sunflower	4.8	NA	NA	2.0	0.67	1.5441	24.0	11
entrance	4.23	NA	NA	2.0	15.69	2.9036	609.0	5
sofa bed	4.78	NA	NA	NA	NA	NA	NA	8
underwear	4.96	NA	NA	2.0	21.67	3.0438	754.0	1
liner	4.2	NA	NA	4.0	1.22	1.7993	55.0	1
vanity	2.15	4.618	3.2	6.0	4.12	2.3243	168.0	509
medicine cabinet	NA	NA	NA	NA	NA	NA	NA	1
restaurant	4.89	6.364	6.2	2.0	46.53	3.3755	1244.0	207
danger	2.68	6.207	4.765	2.0	43.67	3.3479	1415.0	1
straw hat	4.86	NA	NA	NA	NA	NA	NA	3
